id,groupagedata,temps,description,observation,scorerule,max_score,itempos,link
103,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: Dedans,,3,2,13,
104,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: Dehors,,3,2,14,
105,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: À l'intérieur,,3,2,15,
106,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: À l'extérieur,,3,2,16,
107,63,Temps 1,L'élève nomme l'ensemble des objets présentés,,4,1,1,
108,63,Temps 1,L'élève mémorise les objets qu'il ne connaît pas présentés par l'adulte,,4,1,2,
109,63,Temps 1,L'élève est capable de catégoriser l'ensemble des objets,,4,1,3,
110,63,Temps 1,L'élève est capable de nommer la famille de l'objet,,4,1,4,
111,63,Temps 1,L'élève est capable de revenir sur une erreur seul,,4,1,5,
112,63,Temps 1,En cas d'erreur,Non,7,0,6,
113,64,Temps 1,L'élève est capable d'écouter une histoire,,3,2,1,
114,64,Temps 2,L'élève a mémorisé l'histoire et la verbalise,,3,2,2,
115,64,Temps 2,L'élève utilise le vocabulaire utilisé dans l'histoire,Observations (vocabulaire),4,1,3,
116,64,Temps 2,L'élève présente les personnages de l'histoire,,3,2,4,
117,64,Temps 2,L'élève remet les images dans l'ordre chronologique de l'histoire,,3,2,5,
118,64,Temps 2,- sens de la lecture et de l'écriture (ne pas induire),,4,1,6,
119,64,Temps 2,-mise en place des images,POINT A DEFINIR,7,0,7,
120,65,Temps 1,L'élève connaît la suite numérique orale jusqu'à .....,,6,2,1,
121,65,Temps 1,L'élève met en lien la suite numérique oral et écrite jusqu'à ...,,6,2,2,
122,65,Temps 1,L'élève fait émerger la notion de chiffre etde nombre,,3,2,3,
123,65,Temps 1,L'élève confond les notions de lettres et de chiffres,,5,1,4,
124,65,Temps 2,L'élève nomme les 5 cartes nombres,,3,2,5,
125,65,Temps 2,L'élève met en lien les quotités et les quantités,,3,2,6,
126,65,Temps 3,L'élève précise les quantités contenues dans chaque collection,,3,2,7,
127,65,Temps 3,L'élève met en lien les quantités et les quotités,,3,2,8,
128,66,Temps 1,verbaliser le problème et demander la solution présentant 3 cartes réponses,test en mai?,3,2,1,
129,66,Temps 1,présenter un problème à l'aide d'images et demande la solution avec 3 cartes réponses,test en mai?,3,2,2,
130,66,Temps 1,présenter 1 image et poser questions ,test en mai?,3,2,3,70
131,67,Temps 1,L'élève entend le son A,,3,2,1,
132,67,Temps 1,L'élève entend le son E,,3,2,2,
133,67,Temps 1,L'élève entend le son I,,3,2,3,
134,67,Temps 1,L'élève entend le son O,,3,2,4,
135,67,Temps 1,L'élève entend le son U,,3,2,5,
136,67,Temps 2,L'élève nomme les 5 objets ou images,,3,2,6,
137,67,Temps 2,L'élève verbalise ceux où il entend le son A,,3,2,7,
138,67,Temps 2,L'élève nomme les 5 objets ou images,,3,2,8,
139,67,Temps 2,L'élève verbalise ceux où il entend le son E,,3,2,9,
140,67,Temps 2,L'élève nomme les 5 objets ou images,,3,2,10,
141,67,Temps 2,L'élève verbalise ceux où il entend le son I,,3,2,11,
142,67,Temps 2,L'élève nomme les 5 objets ou images,,3,2,12,
143,67,Temps 2,L'élève verbalise ceux où il entend le son O,,3,2,13,
144,67,Temps 2,L'élève nomme les 5 objets ou images,,3,2,14,
145,67,Temps 2,L'élève verbalise ceux où il entend le son U,,3,2,15,
146,67,Temps 2,Observations complémentaires de l'enseignant sur les conditions de passation.,,4,1,16,
147,68,Temps 1,item1 cm2 mathematiques,,8,1,1,
148,68,Temps 2,item2 cm2 mathematiques,,8,1,1,
149,69,Temps 1,item1 cm2 francais,,8,1,1,
150,69,Temps 2,item2 cm2 francais,,8,1,1,
151,70,évaluations repères GS : LES COULEURS,LES COULEURS,,8,22,1,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
152,71,évaluations repères GS : RECONNAISSANCE PRENOM,RECONNAISSANCE PRENOM,,8,5,2,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
153,72,évaluations repères GS : REPÉRAGE SPATIAL ET TOPOLOGIE,REPÉRAGE SPATIAL ET TOPOLOGIE,,8,32,3,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
154,73,évaluations repères GS : CATEGORISATION,CATEGORISATION,,8,6,4,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
155,74,évaluations repères GS : MEMORISATION HISTOIRE,MEMORISATION HISTOIRE,,8,10,5,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
156,75,évaluations repères GS : LA SUITE NUMÉRIQUE,LA SUITE NUMÉRIQUE,,8,15,6,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
157,76,évaluations repères GS : LA RÉSOLUTION DE PROBLEMES,LA RÉSOLUTION DE PROBLEMES,,8,6,7,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
158,77,évaluations repères GS : PHONOLOGIE,PHONOLOGIE,,8,31,8,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf


161,78,benchmark preschool: COLORS,COLORS,,8,22,1,
162,79,benchmark preschool: RECOGNITION OF FIRST NAME,RECOGNITION OF FIRST NAME,,8,5,2,
163,80,benchmark preschool: SPATIAL AND TOPOLOGICAL ORIENTATION,SPATIAL AND TOPOLOGICAL ORIENTATION,,8,32,3,
164,81,benchmark preschool: CATEGORIZATION,CATEGORIZATION,,8,6,4,
165,82,benchmark preschool: STORY MEMORIZATION,STORY MEMORIZATION,,8,10,5,
166,83,benchmark preschool: NUMERIC SEQUENCE,NUMERIC SEQUENCE,,8,15,6,
167,84,benchmark preschool: PROBLEM SOLVING,PROBLEM SOLVING,,8,6,7,
168,85,benchmark preschool: PHONOLOGY,PHONOLOGY,,8,31,8,

169,86,bevenn skol-vamm : LIVIÑ,LIVIÑ,,8,22,1,
170,87,bevenn skol-vamm : ANV AR PRENAME,ANV AR PRENAME,,8,5,2,
171,88,bevenn skol-vamm : RANNIEZH SPATIEL HA TOPOLOJEK,RANNIEZH SPATIEL HA TOPOLOJEK,,8,32,3,
172,89,bevenn skol-vamm : KATEGORIZAÑ,KATEGORIZAÑ,,8,6,4,
173,90,bevenn skol-vamm : MIRAÑ ISTORIOÙ,MIRAÑ ISTORIOÙ,,8,10,5,
174,91,bevenn skol-vamm : HEULIAD NIVEREL,HEULIAD NIVEREL,,8,15,6,
175,92,bevenn skol-vamm : SOLIAD PROBLEM, SOLIAD PROBLEM,,8,6,7,
176,93,bevenn skol-vamm : FONOLOJIEZH,FONOLOJIEZH,,8,31,8,

177,94,Referenz Kindergarten: FARBEN,FARBEN,,8,22,1,
178,95,Referenz Kindergarten: ERKENNUNG DES VORNAMENS,ERKENNUNG DES VORNAMENS,,8,5,2,
179,96,Referenz Kindergarten: RÄUMLICHE UND TOPOLOGISCHE ORIENTIERUNG,RÄUMLICHE UND TOPOLOGISCHE ORIENTIERUNG,,8,32,3,
180,97,Referenz Kindergarten: KATEGORISIERUNG,KATEGORISIERUNG,,8,6,4,
181,98,Referenz Kindergarten: GESCHICHTENERINNERUNG,GESCHICHTENERINNERUNG,,8,10,5,
182,99,Referenz Kindergarten: ZAHLENFOLGE,ZAHLENFOLGE,,8,15,6,
183,100,Referenz Kindergarten: PROBLEMLÖSUNG,PROBLEMLÖSUNG,,8,6,7,
184,101,Referenz Kindergarten: PHONOLOGIE,PHONOLOGIE,,8,31,8,

